Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
84,108.0000,55.0000,107.8390,54.9044,107.9983,54.8930,1.0805
85,108.3333,55.0000,108.1716,54.9527,108.3069,54.8984,0.9070
86,108.6667,55.0000,108.6105,55.3564,108.6325,54.9601,4.6412
87,109.0000,55.0000,109.1334,54.5189,108.9774,54.9171,2.1345
88,109.3333,55.0000,109.2574,55.3532,109.3160,54.9507,2.0360
89,109.6667,55.0000,109.5263,55.1167,109.6410,54.9582,0.7737
90,110.0000,55.0000,110.0224,55.1387,109.9703,54.9853,2.6051
91,110.3333,55.0000,110.3704,55.0730,110.3205,54.9842,0.7328
92,110.6667,55.0000,110.7783,54.8528,110.6739,54.9660,0.6936
93,111.0000,55.0000,110.6722,55.3054,110.9802,54.9694,7.3846
94,111.3333,55.0000,110.9995,55.1460,111.2905,54.9540,5.2214
95,111.6667,55.0000,111.8263,55.1015,111.6429,54.9913,5.6713
96,112.0000,55.0000,112.1689,54.4428,111.9859,54.9459,3.5778
97,112.3333,55.0000,112.5982,55.1108,112.3596,54.9633,2.1036
98,112.6667,55.0000,112.2856,54.8841,112.6274,54.9605,5.8577
99,113.0000,55.0000,113.0152,54.5277,112.9390,54.9443,5.0826
100,113.3333,55.0000,113.2693,54.6463,113.2646,54.9206,2.0255
101,113.6667,55.0000,113.7142,55.0867,113.6012,54.9544,1.9956
102,114.0000,55.0000,113.7378,55.2373,113.9147,54.9708,1.3226
103,114.3333,55.0000,114.0279,54.9346,114.2052,54.9790,2.3693
104,114.6667,55.0000,114.6295,55.1845,114.5610,54.9753,4.1853
105,115.0000,55.0000,115.2144,55.3346,114.9278,55.0150,8.4926
106,115.3333,55.0000,115.5199,55.1600,115.2805,55.0490,3.4518
107,115.6667,55.0000,115.6646,55.6192,115.6467,55.0884,8.6115
108,116.0000,55.0000,115.7826,54.8519,115.9542,55.0574,2.6753
109,116.3333,55.0000,116.6945,55.3759,116.3534,55.0866,6.5497
110,116.6667,55.0000,116.9203,55.2713,116.7140,55.1264,2.7096
111,117.0000,55.0000,116.7051,54.9684,117.0005,55.1188,3.3866
112,117.3333,55.0000,117.4967,54.6219,117.3540,55.0754,2.8572
113,117.6667,55.0000,117.5248,55.0636,117.6617,55.0883,1.7326
114,118.0000,55.0000,117.9309,55.2161,117.9997,55.0945,2.3804
115,118.3333,55.0000,118.5719,55.4010,118.3726,55.1192,3.0565
116,118.6667,55.0000,118.7102,54.7426,118.7070,55.0817,1.6496
117,119.0000,55.0000,118.6862,55.3855,119.0114,55.1008,5.2370
118,119.3333,55.0000,118.9448,54.7111,119.2842,55.0664,6.3516
119,119.6667,55.0000,119.5024,54.6224,119.6082,54.9934,10.2861
120,120.0000,55.0000,120.2484,55.0004,119.9786,55.0071,3.7079
121,120.0000,55.3333,119.9297,55.3794,120.2688,55.0451,7.3458
122,120.0000,55.6667,120.2904,55.7365,120.5477,55.1268,12.9071
123,120.0000,56.0000,119.9518,55.7066,120.7559,55.1824,20.7494
124,120.0000,56.3333,119.8358,56.4926,120.9074,55.3444,59.8763
125,120.0000,56.6667,120.2120,56.9794,121.0631,55.5641,72.4455
126,120.0000,57.0000,119.9195,57.0760,121.1715,55.7584,77.0155
127,120.0000,57.3333,120.0045,57.2729,121.2720,55.9489,72.1000
128,120.0000,57.6667,120.2018,57.4374,121.3665,56.1628,75.7055
129,120.0000,58.0000,120.1782,57.8581,121.4441,56.3905,81.1672
130,120.0000,58.3333,120.0201,57.9686,121.4582,56.6534,123.8000
131,120.0000,58.6667,120.2216,58.5107,121.5060,56.9342,102.3907
132,120.0000,59.0000,119.7482,59.2966,121.4956,57.2325,132.6263
