Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
84,117.8548,99.1082,117.7049,98.9635,117.7722,99.1533,1.0034
85,117.5858,99.3051,117.4220,99.2155,117.4785,99.3517,0.4349
86,117.3147,99.4990,117.2156,99.7678,117.2001,99.5804,3.6235
87,117.0414,99.6899,117.1548,99.2077,116.9422,99.7427,3.9867
88,116.7660,99.8777,116.7211,100.2483,116.6637,99.9615,1.5220
89,116.4886,100.0625,116.3757,100.1612,116.3720,100.1504,0.6822
90,116.2091,100.2441,116.2087,100.4473,116.0918,100.3830,1.9616
91,115.9276,100.4227,115.9887,100.5267,115.8212,100.5662,1.6474
92,115.6441,100.5981,115.7605,100.4526,115.5549,100.7242,2.5597
93,115.3587,100.7703,115.1227,101.1965,115.2306,100.9363,5.4375
94,115.0715,100.9394,114.8327,101.1590,114.9086,101.1137,4.3702
95,114.7823,101.1052,114.8829,101.0893,114.6442,101.2770,7.6618
96,114.4914,101.2679,114.6188,100.7445,114.3692,101.4121,6.3819
97,114.1986,101.4272,114.4497,101.5619,114.1144,101.5852,3.9550
98,113.9041,101.5834,113.5184,101.4654,113.7571,101.7551,3.7564
99,113.6079,101.7362,113.5448,101.2626,113.4501,101.9006,6.3613
100,113.3100,101.8858,113.2327,101.4505,113.1443,102.0101,4.3485
101,113.0104,102.0320,113.0145,102.0888,112.8499,102.1801,2.2756
102,112.7093,102.1749,112.4863,102.4045,112.5200,102.3451,0.3482
103,112.4066,102.3144,112.0849,102.2005,112.1759,102.4917,1.8964
104,112.1023,102.4506,112.1129,102.7256,111.8810,102.6524,4.6207
105,111.7966,102.5833,111.9729,103.0809,111.6060,102.8596,7.6919
106,111.4894,102.7127,111.6153,102.9459,111.3204,103.0310,3.7648
107,111.1807,102.8387,111.2530,103.3401,111.0301,103.1578,11.4322
108,110.8707,102.9612,110.6701,102.8548,110.6890,103.2712,2.8240
109,110.5594,103.0802,110.9291,103.4407,110.4361,103.4000,11.1085
110,110.2467,103.1958,110.4605,103.4400,110.1527,103.5338,5.4550
111,109.9328,103.3079,109.6458,103.2158,109.7914,103.6322,3.2069
112,109.6177,103.4165,109.7666,103.0311,109.4942,103.6948,7.5745
113,109.3014,103.5217,109.1517,103.5229,109.1532,103.7993,2.2381
114,108.9839,103.6232,108.9632,103.7357,108.8328,103.8872,4.8437
115,108.6653,103.7213,108.9024,104.1849,108.5455,104.0255,4.8631
116,108.3456,103.8158,108.3796,103.5949,108.2231,104.0976,3.8505
117,108.0250,103.9067,107.7925,104.1346,107.8662,104.1825,5.4623
