Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
84,22.6000,57.8175,22.4789,57.7090,22.5494,57.7710,1.1162
85,22.7500,57.8306,22.6131,57.8229,22.6631,57.7865,0.7568
86,22.9000,57.8438,23.0428,58.2294,22.9087,57.9364,4.1889
87,23.0500,57.8570,23.1085,57.5389,23.0640,57.7270,2.2808
88,23.2000,57.8703,23.1615,58.0435,23.2184,57.9370,1.9577
89,23.3500,57.8837,23.2449,57.8925,23.3412,57.9608,0.7160
90,23.5000,57.8971,23.4213,58.1291,23.3959,57.9835,2.2017
91,23.6500,57.9105,23.6636,57.8747,23.6229,57.9863,0.8103
92,23.8000,57.9240,23.9127,57.7561,23.8570,57.9103,0.8593
93,23.9500,57.9376,23.4019,57.9655,23.7556,58.0592,6.2590
94,24.1000,57.9513,23.6000,57.8186,23.8213,58.0852,3.6265
95,24.2500,57.9650,24.6670,58.1925,24.2819,58.0530,7.5187
96,24.4000,57.9787,24.4496,57.6551,24.4036,57.8216,3.3423
97,24.5500,57.9925,24.8519,58.0641,24.6949,57.9512,1.9794
98,24.7000,58.0064,24.2131,58.0395,24.5080,57.9416,5.4495
99,24.8500,58.0203,24.7972,57.9370,24.6457,57.8136,3.4271
100,25.0000,58.0343,25.0156,57.8089,24.9158,57.8014,2.1086
101,25.1500,58.0484,25.2795,58.2771,25.1266,57.9550,2.7988
102,25.3000,58.0625,25.0204,58.1771,25.1751,58.1038,1.5846
103,25.4500,58.0767,25.1579,58.1727,25.2128,58.0714,2.7068
104,25.6000,58.0909,25.4029,58.0539,25.4160,58.1686,3.4897
105,25.7500,58.1052,25.7703,58.4486,25.5966,58.2710,7.1550
106,25.9000,58.1195,26.0361,58.4291,25.8093,58.2589,3.6717
107,26.0500,58.1339,26.3156,58.3993,26.2034,58.4167,5.6396
108,26.2000,58.1484,25.8314,57.9945,26.1067,58.2423,4.6054
109,26.3500,58.1629,26.8601,58.3659,26.5668,58.3370,4.3506
110,26.5000,58.1775,26.9162,58.5236,26.7677,58.3469,1.7773
111,26.6500,58.1922,26.4003,58.2376,26.6562,58.2590,5.3093
112,26.8000,58.2069,26.9763,57.9049,26.9019,58.1044,1.5643
113,26.9500,58.2217,26.9145,58.3854,26.9624,58.1851,2.5504
114,27.1000,58.2365,27.2061,58.3100,27.1979,58.2864,2.3291
115,27.2500,58.2514,27.4587,58.5025,27.3964,58.4147,2.4845
116,27.4000,58.2664,27.3585,58.0412,27.4621,58.2579,1.9761
117,27.5500,58.2814,27.4554,58.4774,27.5794,58.4032,5.3710
118,27.7000,58.2965,27.1830,58.1474,27.4480,58.2619,4.5396
119,27.8500,58.3117,27.3213,57.8109,27.5169,58.1803,7.0260
120,28.0000,58.3269,28.4185,58.3932,28.0230,58.2570,6.3071
121,28.1500,58.3422,28.3001,58.3056,28.2764,58.3132,3.6296
122,28.3000,58.3575,28.3895,58.4460,28.3744,58.3698,5.9571
123,28.4500,58.3729,28.2777,57.9676,28.4627,58.2781,3.0972
124,28.6000,58.3884,28.6463,58.5711,28.6258,58.3897,3.9813
125,28.7500,58.4040,28.9181,58.8885,28.7503,58.5141,6.2641
126,28.9000,58.4196,28.9718,58.4885,28.9410,58.4967,1.6827
127,29.0500,58.4352,29.0719,58.2896,29.1154,58.4500,0.7482
128,29.2000,58.4510,29.4527,58.2945,29.3582,58.3732,0.6412
129,29.3500,58.4668,29.4981,58.2663,29.5330,58.3727,0.7806
130,29.5000,58.4826,29.5775,58.4403,29.5723,58.3045,3.2609
131,29.6500,58.4986,30.1166,58.4124,29.9259,58.3443,3.3291
132,29.8000,58.5146,29.6306,58.5225,29.9308,58.5341,5.5042
133,29.9500,58.5306,30.1913,58.4455,30.1548,58.5142,0.5259
134,30.1000,58.5467,29.8671,58.3423,30.1257,58.4812,2.9686
135,30.2500,58.5629,30.3954,58.2232,30.3731,58.4323,3.1572
136,30.4000,58.5792,30.2730,58.1940,30.4152,58.3171,4.8695
137,30.5500,58.5955,30.5871,58.5510,30.6069,58.4811,1.4512
138,30.7000,58.6119,30.6114,58.7523,30.7062,58.6636,1.9530
139,30.8500,58.6284,30.7644,58.5203,30.8328,58.6301,0.8080
140,31.0000,58.6449,30.6207,58.8724,30.7688,58.7249,2.8224
141,31.1500,58.6615,31.5337,59.1316,31.2083,58.9100,5.2554
142,31.3000,58.6782,31.4130,58.2534,31.3466,58.5357,7.0207
143,31.4500,58.6949,31.1374,58.8466,31.3823,58.7841,5.7341
144,31.6000,58.7117,31.9158,58.9106,31.6452,58.7491,4.2687
145,31.7500,58.7286,31.8650,58.3266,31.8319,58.5681,4.6055
146,31.9000,58.7455,31.9008,58.9677,31.9375,58.7596,1.6758
147,32.0500,58.7625,32.1000,58.7679,32.1380,58.8371,1.0851
148,32.2000,58.7796,31.9417,58.7819,32.1445,58.8690,1.5402
149,32.3500,58.7968,32.5483,58.6552,32.4280,58.7803,1.3532
150,32.5000,58.8140,32.5527,58.4608,32.6090,58.7030,3.1887
151,32.6500,58.8313,32.5357,59.3923,32.5930,58.9710,5.4430
152,32.8000,58.8486,32.4798,58.8079,32.5576,58.8257,3.7674
153,32.9500,58.8660,32.6024,58.3689,32.7552,58.7678,6.5848
154,33.1000,58.8835,32.9635,58.8959,32.9237,58.8338,0.4636
155,33.2500,58.9011,32.9349,58.4559,33.0122,58.6817,2.2214
156,33.4000,58.9188,33.6733,59.1509,33.4318,58.9433,6.2030
157,33.5500,58.9365,33.9022,59.1417,33.6455,58.9140,6.0406
158,33.7000,58.9542,33.7897,59.2322,33.7968,59.0738,3.1138
159,33.8500,58.9721,34.0064,59.4025,33.9658,59.2263,1.1105
160,34.0000,58.9900,33.7626,59.4116,33.8923,59.2652,3.5081
161,34.1500,59.0080,34.6747,59.3393,34.2875,59.2056,6.7313
162,34.3000,59.0261,33.9718,58.6946,34.2145,58.9898,6.1938
163,34.4500,59.0442,34.0570,58.4946,34.3086,58.8985,6.2560
164,34.6000,59.0624,34.5530,59.0503,34.5152,58.9952,0.5116
165,34.7500,59.0807,34.7429,59.0267,34.7179,59.0346,1.0620
166,34.9000,59.0991,35.0429,58.8955,34.9177,58.9214,1.5989
167,35.0500,59.1175,34.4621,59.1052,34.7517,58.9989,10.1326
168,35.2000,59.1360,35.4240,59.3510,35.1411,59.1454,5.1132
169,35.3500,59.1546,35.0873,58.9973,35.1310,59.0100,3.7369
170,35.5000,59.1732,35.7638,59.1004,35.5493,59.0968,3.6031
171,35.6500,59.1920,35.5622,59.2567,35.5901,59.1247,2.0160
172,35.8000,59.2108,35.9473,59.2418,35.8205,59.1602,2.2454
173,35.9500,59.2297,35.7236,59.1678,35.8324,59.1540,1.1693
174,36.1000,59.2486,36.0328,59.0033,36.0778,59.1851,2.8172
175,36.2500,59.2676,36.1543,59.6362,36.1497,59.3594,3.2118
176,36.4000,59.2867,36.6855,59.1825,36.3958,59.1488,7.1177
177,36.5500,59.3059,36.2857,59.3233,36.3415,59.1435,4.5049
178,36.7000,59.3251,36.7472,59.1939,36.5888,59.1354,1.1584
179,36.8500,59.3445,36.9035,59.4336,36.8131,59.2762,1.0151
180,37.0000,59.3639,37.4768,59.2593,37.2333,59.2831,2.9538
181,37.1500,59.3833,37.1976,59.3283,37.2977,59.3180,0.4950
