episode,reward,robot_x,robot_y,target_x,target_y
115,17462.8763,-0.9528,0.0478,1.475,2.525
116,17864.9628,-0.7705,-0.2861,1.475,2.525
117,1653.7485,-2.2956,-1.5137,1.475,2.525
118,2992.1946,-2.125,-1.5283,1.475,2.525
119,19891.4642,-1.9821,1.4666,1.475,2.525
120,4226.7307,-1.9308,-1.5476,1.475,2.525
121,2580.4447,-2.1376,-1.5268,1.475,2.525
122,19114.475,-0.9429,0.305,1.475,2.525
123,18578.0198,-0.7369,-0.3023,1.475,2.525
124,-1519.7794,-0.7453,-2.6528,1.475,2.525
125,-262.7448,-1.3343,-2.6517,1.475,2.525
126,2129.0805,-1.5519,-2.3573,1.475,2.525
127,16079.9689,-0.472,-1.1782,1.475,2.525
128,1328.0972,-0.7329,-2.6399,1.475,2.525
129,1344.7775,-2.3248,-1.5226,1.475,2.525
130,1344.7459,-2.3176,-1.5246,1.475,2.525
131,33373.3744,-1.21,2.602,1.475,2.525
132,1080.2507,-0.7389,-2.6572,1.475,2.525
133,1344.4288,-2.375,-1.5094,1.475,2.525
134,11635.5324,-0.4703,-1.7873,1.475,2.525
135,35719.2425,0.818,0.9279,1.475,2.525
136,5256.2141,-1.8676,-1.5612,1.475,2.525
137,15876.7719,-0.4754,-1.0577,1.475,2.525
138,2983.1976,-1.6999,-1.7378,1.475,2.525
139,14549.1291,-0.4771,-1.791,1.475,2.525
140,1715.7724,-1.5612,-2.0925,1.475,2.525
141,15650.3619,-0.4715,-1.4355,1.475,2.525
142,12569.141,-0.4378,-1.3336,1.475,2.525
143,2271.4583,-2.2799,-1.5213,1.475,2.525
144,-241.9523,-0.7334,-2.6551,1.475,2.525
145,2863.0682,-1.5543,-1.9904,1.475,2.525
146,2786.0203,-2.1592,-1.5364,1.475,2.525
147,32584.9528,1.2737,0.1023,1.475,2.525
148,2065.3658,-2.25,-1.5357,1.475,2.525
149,11761.7032,-1.8248,-0.4033,1.475,2.525
150,938.8176,-1.2388,-2.6415,1.475,2.525
151,4193.2302,-1.5943,-1.8335,1.475,2.525
152,10375.2295,-0.4833,-1.7318,1.475,2.525
153,32990.1586,1.1991,0.1562,1.475,2.525
154,4329.2104,-1.9402,-1.55,1.475,2.525
155,2898.8512,-2.6491,-0.5504,1.475,2.525
156,10526.2195,-2.0179,-0.4191,1.475,2.525
157,4867.6487,-1.7163,-1.6357,1.475,2.525
158,18083.3094,-0.9242,-0.0163,1.475,2.525
159,31772.1518,1.2168,0.1431,1.475,2.525
160,12090.4933,-0.4685,-1.3258,1.475,2.525
161,4535.8082,-1.9088,-1.5601,1.475,2.525
162,16806.2202,-0.473,-1.0311,1.475,2.525
163,1241.73,-2.3546,-1.5176,1.475,2.525
164,6228.9828,-0.4662,-2.1651,1.475,2.525
165,29861.9789,-0.2635,1.2658,1.475,2.525
166,3802.7591,-0.4711,-2.1755,1.475,2.525
167,12953.5471,-0.4802,-1.5791,1.475,2.525
168,20743.9321,-0.9541,0.1165,1.475,2.525
169,30750.4119,0.9013,0.3225,1.475,2.525
170,4125.5076,-2.0089,-1.5097,1.475,2.525
171,15771.1239,-0.479,-1.1059,1.475,2.525
172,3506.7016,-2.0712,-1.5555,1.475,2.525
173,15647.7289,-0.4657,-1.5377,1.475,2.525
174,15334.5951,-0.4726,-1.6199,1.475,2.525
175,16968.6228,-0.3863,-0.8654,1.475,2.525
176,10218.4522,-2.0005,-0.4296,1.475,2.525
177,18591.5936,-0.4761,-0.3319,1.475,2.525
178,3953.0511,-1.574,-1.9073,1.475,2.525
179,10991.6389,-0.4697,-1.4414,1.475,2.525
180,22082.7017,0.2999,-0.8941,1.475,2.525
181,41717.9289,1.1329,1.8196,1.475,2.525
182,1859.486,-2.3138,-1.5145,1.475,2.525
183,1756.641,-2.2824,-1.5238,1.475,2.525
184,11857.5952,-0.455,-1.5323,1.475,2.525
185,11151.1298,-1.8159,-0.4056,1.475,2.525
186,-1445.3719,-1.56,-2.426,1.475,2.525
187,30343.4659,0.7994,0.3991,1.475,2.525
188,24272.9789,0.952,-0.512,1.475,2.525
189,1946.595,-1.5947,-2.111,1.475,2.525
190,31171.9818,0.7916,0.4086,1.475,2.525
191,10932.3118,-1.93,-0.4284,1.475,2.525
192,2991.5603,-2.1311,-1.56,1.475,2.525
193,4741.6233,-1.9662,-1.5481,1.475,2.525
194,261.2326,-1.5468,-2.1762,1.475,2.525
195,17559.9412,-0.7558,-0.2935,1.475,2.525
196,16085.938,-0.4546,-1.0438,1.475,2.525
197,3094.8684,-2.0981,-1.5326,1.475,2.525
198,25470.6465,-0.1116,-0.0762,1.475,2.525
199,16936.682,-1.5995,0.1812,1.475,2.525
200,18893.6014,-0.5377,-0.3169,1.475,2.525
201,15769.1861,-0.4774,-1.1719,1.475,2.525
202,30334.0493,1.2109,0.1444,1.475,2.525
203,13110.0264,-1.6957,-0.2711,1.475,2.525
204,9704.2921,-1.9765,-0.433,1.475,2.525
205,13337.987,-0.4766,-1.5418,1.475,2.525
206,2712.0778,-2.4152,-1.5037,1.475,2.525
207,2887.3522,-2.2866,-1.5422,1.475,2.525
208,18377.6547,-0.6514,-0.3238,1.475,2.525
209,3301.2882,-2.1124,-1.5012,1.475,2.525
210,19299.0199,-0.9405,-0.06,1.475,2.525
211,14283.3935,-0.3836,-0.8753,1.475,2.525
212,703.1127,-0.7668,-2.642,1.475,2.525
213,12878.6858,-2.1501,-0.4236,1.475,2.525
214,17353.3618,-0.6504,-0.311,1.475,2.525
215,15570.9918,-0.4533,-0.9797,1.475,2.525
216,16721.018,-0.389,-0.8716,1.475,2.525
217,20549.8521,-0.935,0.4322,1.475,2.525
218,4627.5243,-1.6761,-1.6872,1.475,2.525
219,18486.993,-0.6879,-0.277,1.475,2.525
220,16646.9055,-0.8478,-0.2136,1.475,2.525
221,9017.2871,-0.4717,-2.0982,1.475,2.525
222,18694.5698,-0.9486,-0.0156,1.475,2.525
223,16294.6402,-0.4434,-0.9548,1.475,2.525
224,16101.8926,-1.6002,0.1029,1.475,2.525
225,16714.6519,-1.6067,0.1671,1.475,2.525
226,9055.975,-2.2063,-0.3619,1.475,2.525
227,17666.123,-0.9539,0.0468,1.475,2.525
228,1653.4417,-2.2817,-1.5172,1.475,2.525
229,18083.1294,-0.9235,-0.0562,1.475,2.525
230,11759.5156,-1.8358,-0.4022,1.475,2.525
231,18288.5129,-0.9514,0.1002,1.475,2.525
232,15374.5075,-1.6206,-0.1625,1.475,2.525
233,3198.0546,-2.0627,-1.535,1.475,2.525
234,16844.3313,-0.8071,-0.2641,1.475,2.525
235,45321.1049,1.0322,2.466,1.475,2.525
236,17457.9099,-0.7794,-0.2793,1.475,2.525
237,18781.9246,-0.9312,-0.104,1.475,2.525
238,22273.4667,-0.4877,-0.3335,1.475,2.525
239,17769.12,-0.795,-0.259,1.475,2.525
240,20756.0856,-0.9288,0.4635,1.475,2.525
241,1447.5335,-2.3428,-1.5168,1.475,2.525
242,2993.9044,-2.13,-1.5252,1.475,2.525
243,9806.0911,-2.052,-0.4383,1.475,2.525
244,12580.8719,-1.8509,-0.4152,1.475,2.525
245,35196.5436,0.7587,0.8258,1.475,2.525
246,3403.9996,-2.0238,-1.5233,1.475,2.525
247,2169.5507,-2.1978,-1.5341,1.475,2.525
248,10791.2545,-0.4448,-1.5151,1.475,2.525
249,27136.1706,1.1386,-0.355,1.475,2.525
250,17112.2724,-0.4733,-1.0851,1.475,2.525
251,15244.4256,-0.4806,-1.3737,1.475,2.525
252,26855.2558,1.0943,-0.3711,1.475,2.525
253,23223.7802,-0.1552,-0.0502,1.475,2.525
254,17657.5354,-0.8272,-0.225,1.475,2.525
255,20108.6038,-0.1296,-0.8077,1.475,2.525
256,4882.0786,-1.7352,-1.6102,1.475,2.525
257,16184.1672,-0.4744,-1.1047,1.475,2.525
258,17875.3045,-0.656,-0.3212,1.475,2.525
259,17771.252,-0.9225,-0.1337,1.475,2.525
260,7361.193,-0.4595,-1.6366,1.475,2.525
261,15259.6598,-0.4771,-1.0949,1.475,2.525
262,18592.5015,-0.7098,-0.3069,1.475,2.525
263,30802.048,1.0711,-0.4433,1.475,2.525
264,30552.3274,1.3927,0.0469,1.475,2.525
265,21694.0603,-0.9584,0.554,1.475,2.525
266,24391.3242,1.0299,-0.3977,1.475,2.525
267,3095.1984,-2.1318,-1.5384,1.475,2.525
268,16549.5096,-0.9425,0.0804,1.475,2.525
269,20159.4984,0.3712,-1.1373,1.475,2.525
270,17350.2423,-0.8718,-0.1986,1.475,2.525
271,17116.0552,-0.4809,-1.1351,1.475,2.525
272,18084.7517,-0.9554,0.0401,1.475,2.525
273,11232.1043,-2.2902,-0.3554,1.475,2.525
274,32497.9833,0.822,0.3712,1.475,2.525
275,20016.9335,-0.9116,-0.0945,1.475,2.525
276,18177.492,-0.5879,-0.3188,1.475,2.525
277,35186.4493,0.7938,0.8678,1.475,2.525
278,4123.8037,-2.0551,-1.5504,1.475,2.525
279,19333.3242,-0.1401,-0.7512,1.475,2.525
280,40541.836,1.1553,1.2167,1.475,2.525
281,17659.1253,-0.7784,-0.277,1.475,2.525
282,39124.113,1.083,1.3099,1.475,2.525
283,18077.2244,-0.6769,-0.321,1.475,2.525
284,12540.7522,-0.4668,-1.4894,1.475,2.525
285,27509.6121,0.9586,-0.5122,1.475,2.525
286,15142.735,-0.4775,-1.3474,1.475,2.525
287,31641.4257,1.3374,0.0593,1.475,2.525
288,17462.5751,-0.793,-0.2594,1.475,2.525
289,10437.2957,-1.7805,-0.3706,1.475,2.525
290,18073.6235,-0.5936,-0.3227,1.475,2.525
291,10208.5784,-2.2074,-0.4151,1.475,2.525
292,16083.4051,-0.4728,-1.0756,1.475,2.525
293,17153.0867,-0.7733,-0.2554,1.475,2.525
294,2477.2779,-2.1868,-1.5361,1.475,2.525
295,1793.9153,-2.3273,-1.5021,1.475,2.525
296,16290.5144,-0.4576,-1.034,1.475,2.525
297,2993.2633,-2.1055,-1.5355,1.475,2.525
298,2168.7419,-2.2522,-1.5281,1.475,2.525
299,18599.0093,-0.9365,0.0611,1.475,2.525
300,19201.5811,-0.5837,-0.3311,1.475,2.525
301,19614.1171,-0.4807,-0.3288,1.475,2.525
302,17170.3726,-0.9362,0.0807,1.475,2.525
303,9900.1304,-2.1831,-0.4242,1.475,2.525
304,18370.5102,-0.7314,-0.3024,1.475,2.525
305,18899.6017,-0.9411,0.0621,1.475,2.525
306,19110.6353,-0.9301,0.0809,1.475,2.525
307,20143.9907,-0.9384,0.3111,1.475,2.525
308,19196.5992,-0.2672,-0.7809,1.475,2.525
309,3404.1341,-2.0997,-1.5131,1.475,2.525
310,10616.7275,-2.2212,-0.4072,1.475,2.525
311,15769.7944,-0.473,-1.1774,1.475,2.525
312,18273.5559,-0.8484,-0.2311,1.475,2.525
313,17968.339,-0.5515,-0.3372,1.475,2.525
314,11963.8212,-1.9158,-0.4285,1.475,2.525
315,1550.6656,-2.3029,-1.5211,1.475,2.525
316,23008.9251,-0.2728,-0.2703,1.475,2.525
317,15776.6652,-0.4568,-1.0465,1.475,2.525
318,12783.0201,-1.8925,-0.4221,1.475,2.525
319,19824.7475,-0.9515,0.0877,1.475,2.525
320,20025.5744,-0.9328,0.0824,1.475,2.525
321,30661.0601,0.7538,0.4519,1.475,2.525
322,19201.0952,-0.9435,0.0435,1.475,2.525
323,20124.1738,-0.5379,-0.337,1.475,2.525
324,4457.1536,-1.8025,-1.5897,1.475,2.525
325,11131.0937,-2.2651,-0.3756,1.475,2.525
326,17155.2357,-0.7077,-0.3107,1.475,2.525
327,17733.7731,-0.4551,-1.0015,1.475,2.525
328,16540.1246,-0.8065,-0.2556,1.475,2.525
329,12266.6786,-2.098,-0.4279,1.475,2.525
330,31469.4083,0.8342,0.365,1.475,2.525
331,3713.2461,-2.0789,-1.523,1.475,2.525
332,16190.2307,-0.4633,-1.0322,1.475,2.525
333,19521.8658,-0.9247,0.2536,1.475,2.525
334,3508.2912,-2.1387,-1.5306,1.475,2.525
335,2991.8947,-2.0928,-1.5566,1.475,2.525
336,15887.7798,-0.4853,-1.2406,1.475,2.525
337,20802.3508,-0.5604,-0.3309,1.475,2.525
338,17006.8971,-0.4659,-1.1245,1.475,2.525
339,40258.5049,1.0782,1.3176,1.475,2.525
340,16542.6947,-0.8599,-0.2217,1.475,2.525
341,4021.5147,-2.0192,-1.5106,1.475,2.525
342,19004.3425,-0.7023,-0.3153,1.475,2.525
343,20431.2955,-0.2093,-0.8002,1.475,2.525
344,22596.1264,-0.269,-0.2701,1.475,2.525
345,33733.8534,0.7556,0.4506,1.475,2.525
346,17012.2449,-0.462,-1.0134,1.475,2.525
347,34806.4154,-0.2794,1.3303,1.475,2.525
348,16905.4234,-0.4411,-1.1185,1.475,2.525
349,12888.1756,-1.8903,-0.4239,1.475,2.525
350,11566.2024,-1.7743,-0.3849,1.475,2.525
351,32706.1864,0.8578,0.3463,1.475,2.525
352,15328.8153,-1.5997,0.1789,1.475,2.525
353,39688.807,0.7251,2.5999,1.475,2.525
354,18461.2029,-0.3755,-0.9189,1.475,2.525
355,18286.5147,-0.9541,0.0476,1.475,2.525
356,19812.7171,-0.8408,-0.2186,1.475,2.525
357,30723.2915,1.252,0.1166,1.475,2.525
358,13599.6622,-1.9262,-0.4219,1.475,2.525
359,9366.133,-0.4788,-1.3208,1.475,2.525
360,38595.2821,0.9149,1.0194,1.475,2.525
361,11553.907,-1.896,-0.4106,1.475,2.525
362,18168.6089,-0.8751,-0.186,1.475,2.525
363,20320.8329,-0.6349,-0.3375,1.475,2.525
