Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
84,117.8548,99.1082,117.7049,98.9635,117.7461,98.9918,0.3540
85,117.5858,99.3051,117.4220,99.2155,117.4404,99.2187,0.2268
86,117.3147,99.4990,117.2156,99.7678,117.2098,99.5498,4.4278
87,117.0414,99.6899,117.1548,99.2077,117.0371,99.6012,3.0034
88,116.7660,99.8777,116.7211,100.2483,116.7464,99.9127,1.8198
89,116.4886,100.0625,116.3757,100.1612,116.4174,100.0799,0.6635
90,116.2091,100.2441,116.2087,100.4473,116.1624,100.4235,1.9075
91,115.9276,100.4227,115.9887,100.5267,115.9363,100.5411,1.0451
92,115.6441,100.5981,115.7605,100.4526,115.7074,100.5994,0.9772
93,115.3587,100.7703,115.1227,101.1965,115.2393,100.9072,7.0322
94,115.0715,100.9394,114.8327,101.1590,114.8692,101.0509,4.5911
95,114.7823,101.1052,114.8829,101.0893,114.7610,101.1650,7.1818
96,114.4914,101.2679,114.6188,100.7445,114.5293,101.2001,4.1586
97,114.1986,101.4272,114.4497,101.5619,114.3583,101.4313,0.9778
98,113.9041,101.5834,113.5184,101.4654,113.7396,101.6305,5.7682
99,113.6079,101.7362,113.5448,101.2626,113.4756,101.7342,6.2513
100,113.3100,101.8858,113.2327,101.4505,113.2002,101.7281,2.0098
101,113.0104,102.0320,113.0145,102.0888,112.9623,102.0136,2.3916
102,112.7093,102.1749,112.4863,102.4045,112.5568,102.2369,0.7978
103,112.4066,102.3144,112.0849,102.2005,112.1457,102.3718,1.7373
104,112.1023,102.4506,112.1129,102.7256,111.9778,102.5755,4.5831
105,111.7966,102.5833,111.9729,103.0809,111.8245,102.9464,5.1463
106,111.4894,102.7127,111.6153,102.9459,111.5624,103.1118,1.2458
107,111.1807,102.8387,111.2530,103.3401,111.2698,103.1104,10.3817
108,110.8707,102.9612,110.6701,102.8548,110.7786,103.1185,3.3799
109,110.5594,103.0802,110.9291,103.4407,110.7337,103.2435,5.8110
110,110.2467,103.1958,110.4605,103.4400,110.4498,103.3971,2.1618
111,109.9328,103.3079,109.6458,103.2158,109.8533,103.4107,4.3160
112,109.6177,103.4165,109.7666,103.0311,109.6556,103.3317,2.5103
113,109.3014,103.5217,109.1517,103.5229,109.2299,103.4912,1.9282
114,108.9839,103.6232,108.9632,103.7357,108.9421,103.5734,2.8647
115,108.6653,103.7213,108.9024,104.1849,108.7759,103.8682,3.1764
116,108.3456,103.8158,108.3796,103.5949,108.4002,103.8418,1.5491
117,108.0250,103.9067,107.7925,104.1346,107.9198,103.9199,5.4492
118,107.7033,103.9941,107.3082,103.7182,107.4135,103.9664,2.7654
119,107.3807,104.0779,107.2302,103.8289,107.1403,104.0107,10.3603
120,107.0571,104.1581,107.2914,104.1114,107.0800,104.0842,5.1636
121,106.7327,104.2347,106.7177,104.1429,106.7339,104.0767,3.4919
122,106.4075,104.3077,106.6375,104.5343,106.5242,104.3835,5.2801
123,106.0814,104.3771,106.0583,104.1029,106.1067,104.3019,3.5560
124,105.7547,104.4429,105.6242,104.4827,105.6886,104.3810,3.4992
125,105.4272,104.5050,105.5603,104.9247,105.4633,104.7356,5.3345
126,105.0990,104.5635,105.0488,104.5519,105.0804,104.6615,2.5988
127,104.7702,104.6183,104.8004,104.5292,104.7694,104.6139,1.0553
128,104.4408,104.6695,104.6267,104.4395,104.5366,104.5784,1.0597
129,104.1109,104.7170,104.2890,104.5949,104.2450,104.6061,0.6857
130,103.7805,104.7608,103.7461,104.4058,103.8091,104.6229,3.7100
131,103.4496,104.8010,103.6894,104.5533,103.5932,104.5698,4.0561
132,103.1182,104.8375,102.9601,105.0165,103.0850,104.6873,4.5302
133,102.7865,104.8703,102.9390,104.7675,102.8495,104.7062,1.2970
134,102.4545,104.8994,102.2554,104.6838,102.3576,104.7004,0.9603
135,102.1221,104.9248,102.3641,104.7174,102.2042,104.7337,3.8819
136,101.7895,104.9466,101.5857,104.3062,101.6974,104.5724,3.0716
137,101.4567,104.9646,101.5021,104.9989,101.4303,104.7378,1.6803
138,101.1236,104.9790,101.1129,105.3019,101.0943,104.9723,2.5467
139,100.7905,104.9896,100.7015,104.8715,100.7145,104.9236,0.3970
140,100.4572,104.9965,100.2034,105.2696,100.2647,105.1430,2.9177
141,100.1239,104.9997,100.3470,105.5326,100.1536,105.2505,6.5942
142,99.7906,104.9993,99.8527,104.2916,99.8259,104.9285,7.5678
143,99.4573,104.9951,99.1829,105.3183,99.3042,105.0139,4.5022
144,99.1240,104.9872,99.3571,105.0620,99.1748,105.0985,4.5032
145,98.7909,104.9756,99.0127,104.6031,98.9296,104.9595,5.1123
146,98.4579,104.9603,98.4145,105.1933,98.4819,105.0342,1.1484
147,98.1251,104.9414,98.1915,105.0938,98.1618,105.0063,1.6092
148,97.7926,104.9187,97.6404,105.0535,97.7104,105.0168,1.1425
149,97.4603,104.8923,97.5984,104.7045,97.4891,104.8614,1.8611
150,97.1283,104.8622,97.2943,104.6478,97.2270,104.7758,3.2634
151,96.7967,104.8285,96.6455,105.3748,96.7377,105.0287,4.6572
152,96.4655,104.7911,96.1520,104.5333,96.2455,104.8711,4.0747
153,96.1347,104.7499,95.9856,104.4666,95.9439,104.6648,6.9534
154,95.8044,104.7052,95.7283,104.7368,95.6626,104.7074,1.0821
155,95.4746,104.6567,95.3119,104.1871,95.3109,104.5405,5.1203
156,95.1453,104.6046,95.3916,104.9856,95.1976,104.6693,4.6831
157,94.8167,104.5488,95.0747,104.5954,94.9727,104.6866,4.6557
