Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
84,112.2565,86.4805,112.1070,86.3494,112.1351,86.3301,3.0513
85,112.3961,86.5926,112.2361,86.5154,112.2404,86.5057,2.1844
86,112.5354,86.7038,112.4565,86.9918,112.4498,86.8621,34.5568
87,112.6744,86.8142,112.7886,86.3440,112.7162,86.6554,22.6185
88,112.8133,86.9237,112.7621,87.2804,112.8126,87.0000,16.6364
89,112.9519,87.0324,112.8339,87.1322,112.8782,87.0528,6.3204
90,113.0902,87.1402,113.0950,87.3244,113.0540,87.3600,16.3041
91,113.2284,87.2472,113.2818,87.3404,113.2762,87.3247,7.6558
92,113.3663,87.3532,113.4795,87.2095,113.4706,87.2647,3.2197
93,113.5039,87.4583,113.2447,87.8440,113.3443,87.5630,65.0258
94,113.6413,87.5626,113.3792,87.7583,113.4256,87.5895,42.7310
95,113.7785,87.6659,113.8939,87.6822,113.8275,87.7221,54.9089
96,113.9154,87.7683,114.0530,87.2414,113.9930,87.5880,30.6595
97,114.0521,87.8698,114.3035,87.9964,114.2774,87.8678,5.5721
98,114.1885,87.9703,113.8099,87.8532,113.9100,88.0014,37.6380
99,114.3246,88.0699,114.2848,87.5974,114.1730,88.0104,54.2909
100,114.4605,88.1686,114.3867,87.7591,114.3613,87.9238,13.3458
101,114.5961,88.2663,114.6101,88.3281,114.5746,88.3057,19.9953
102,114.7315,88.3630,114.5004,88.5957,114.5591,88.4673,6.5083
103,114.8666,88.4588,114.5524,88.3572,114.5607,88.5252,11.9273
104,115.0014,88.5536,115.0036,88.8066,114.9496,88.6473,39.5669
105,115.1359,88.6474,115.3262,89.0932,115.2529,89.0448,41.2148
106,115.2702,88.7402,115.4123,88.9449,115.3816,89.1330,11.8624
107,115.4042,88.8320,115.4435,89.3732,115.5280,89.0696,83.2134
108,115.5379,88.9228,115.3419,88.8079,115.3970,88.9481,23.9478
109,115.6713,89.0126,116.0271,89.3775,115.9576,89.1421,36.6530
110,115.8045,89.1014,116.0173,89.3454,116.0416,89.3379,17.1972
111,115.9374,89.1892,115.6484,89.1144,115.7557,89.2577,24.9555
112,116.0699,89.2759,116.2225,88.8904,116.1438,89.0708,14.1405
113,116.2022,89.3616,116.0488,89.3769,116.0971,89.3484,18.5577
114,116.3342,89.4463,116.2890,89.5949,116.3109,89.4223,25.9671
