Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
84,112.2565,86.4805,112.1070,86.3494,112.1608,86.3491,0.4496
85,112.3961,86.5926,112.2361,86.5154,112.2599,86.4936,0.2897
86,112.5354,86.7038,112.4565,86.9918,112.4375,86.7731,4.3460
87,112.6744,86.8142,112.7886,86.3440,112.6742,86.7138,2.8577
88,112.8133,86.9237,112.7621,87.2804,112.8068,86.9541,1.9150
89,112.9519,87.0324,112.8339,87.1322,112.8966,87.0476,0.7251
90,113.0902,87.1402,113.0950,87.3244,113.0517,87.2924,2.0894
91,113.2284,87.2472,113.2818,87.3404,113.2519,87.3386,0.8875
92,113.3663,87.3532,113.4795,87.2095,113.4450,87.3314,0.7014
93,113.5039,87.4583,113.2447,87.8440,113.4085,87.5369,7.7630
94,113.6413,87.5626,113.3792,87.7583,113.4684,87.6032,4.9514
95,113.7785,87.6659,113.8939,87.6822,113.7704,87.7225,6.5265
96,113.9154,87.7683,114.0530,87.2414,113.9601,87.6700,3.9072
97,114.0521,87.8698,114.3035,87.9964,114.2234,87.8544,0.9386
98,114.1885,87.9703,113.8099,87.8532,114.0305,87.9830,6.1546
99,114.3246,88.0699,114.2848,87.5974,114.1884,88.0320,5.8919
100,114.4605,88.1686,114.3867,87.7591,114.3515,87.9988,1.8279
101,114.5961,88.2663,114.6101,88.3281,114.5480,88.2514,2.4373
102,114.7315,88.3630,114.5004,88.5957,114.5901,88.4163,0.9608
103,114.8666,88.4588,114.5524,88.3572,114.6103,88.5115,1.6291
104,115.0014,88.5536,115.0036,88.8066,114.8975,88.6334,4.7525
105,115.1359,88.6474,115.3262,89.0932,115.1831,88.9393,5.9428
106,115.2702,88.7402,115.4123,88.9449,115.3550,89.0826,1.3748
107,115.4042,88.8320,115.4435,89.3732,115.5153,89.1016,9.2884
108,115.5379,88.9228,115.3419,88.8079,115.4675,89.0430,3.9314
109,115.6713,89.0126,116.0271,89.3775,115.8687,89.1646,5.0004
110,115.8045,89.1014,116.0173,89.3454,116.0207,89.3190,1.8797
111,115.9374,89.1892,115.6484,89.1144,115.8676,89.3075,4.6799
112,116.0699,89.2759,116.2225,88.8904,116.1202,89.1938,2.3534
113,116.2022,89.3616,116.0488,89.3769,116.1382,89.3523,2.1035
114,116.3342,89.4463,116.2890,89.5949,116.3058,89.4289,2.8679
115,116.4659,89.5299,116.7014,89.9775,116.5987,89.6738,2.7918
116,116.5973,89.6125,116.6411,89.3806,116.6741,89.6112,1.5933
117,116.7284,89.6940,116.4584,89.9799,116.6425,89.7206,5.7381
118,116.8592,89.7744,116.4802,89.4943,116.5845,89.7357,3.0231
119,116.9897,89.8537,116.8695,89.5817,116.7818,89.6982,9.9602
120,117.1198,89.9320,117.3416,89.8897,117.1615,89.8317,4.6903
121,117.2497,90.0092,117.2010,89.9635,117.2668,89.8657,3.7598
122,117.3792,90.0853,117.6415,90.2597,117.5214,90.1221,5.0630
123,117.5085,90.1603,117.4942,89.8918,117.5661,90.0213,3.1766
124,117.6374,90.2343,117.4758,90.3094,117.5884,90.1739,3.9756
125,117.7660,90.3071,117.9200,90.6750,117.8157,90.5346,5.1209
126,117.8943,90.3788,117.8188,90.3951,117.8865,90.4960,2.4346
127,118.0222,90.4493,118.0445,90.3767,118.0402,90.4439,1.0327
128,118.1499,90.5188,118.3355,90.2779,118.2630,90.4281,0.8807
129,118.2772,90.5871,118.4605,90.4609,118.4368,90.4532,0.3943
130,118.4041,90.6543,118.3797,90.2633,118.4434,90.5301,4.2713
131,118.5308,90.7204,118.7345,90.4878,118.6816,90.5349,4.5847
132,118.6570,90.7853,118.4600,91.0387,118.6465,90.6544,4.7114
133,118.7830,90.8491,118.9153,90.7606,118.8670,90.7036,1.1947
134,118.9086,90.9117,118.7018,90.7259,118.8352,90.7183,1.2926
135,119.0339,90.9732,119.3026,90.7468,119.1500,90.7421,2.8291
136,119.1588,91.0335,118.9422,90.4039,119.0853,90.6648,3.8041
137,119.2834,91.0927,119.3197,91.1471,119.2837,90.8584,1.4718
138,119.4076,91.1507,119.3976,91.4959,119.4136,91.1108,2.6448
139,119.5315,91.2075,119.4308,91.1130,119.4839,91.1202,0.4077
140,119.6550,91.2631,119.4328,91.5203,119.4934,91.3759,3.6932
141,119.7782,91.3176,119.9445,91.8859,119.8292,91.5667,5.5777
142,119.9010,91.3708,119.9960,90.5865,119.9471,91.3113,7.5661
143,120.0235,91.4229,119.7020,91.8511,119.8941,91.4374,4.9486
144,120.1455,91.4738,120.3967,91.4719,120.2135,91.5946,3.8391
145,120.2673,91.5235,120.5572,91.0785,120.4352,91.4669,4.7176
146,120.3886,91.5720,120.3180,91.8316,120.4381,91.6281,1.5712
147,120.5096,91.6193,120.5556,91.8216,120.5770,91.6494,1.5258
148,120.6302,91.6654,120.4891,91.8358,120.5843,91.7116,1.6555
149,120.7504,91.7103,120.8761,91.5167,120.8051,91.6512,1.2132
150,120.8703,91.7540,121.0835,91.5229,121.0080,91.5990,2.4492
151,120.9898,91.7964,120.8152,92.3532,120.9607,91.9751,5.7077
152,121.1089,91.8376,120.8191,91.5309,120.9059,91.9324,4.0942
153,121.2276,91.8777,121.1180,91.6557,121.0737,91.7376,6.6210
154,121.3459,91.9165,121.2985,91.9309,121.2399,91.8756,1.1101
155,121.4639,91.9540,121.3870,91.4260,121.3390,91.7847,4.7045
156,121.5814,91.9903,121.8039,92.4023,121.6717,92.0039,4.2601
157,121.6986,92.0254,121.9853,91.9443,121.8797,92.1571,4.2709
158,121.8153,92.0593,121.6994,92.3755,121.8620,92.2028,4.4341
159,121.9317,92.0919,121.9325,92.6273,121.9800,92.3443,2.3519
160,122.0477,92.1233,121.7480,92.5068,121.9038,92.4600,2.0700
161,122.1633,92.1535,122.3848,92.2567,122.2357,92.4473,7.0417
162,122.2784,92.1823,122.2080,91.8479,122.2386,92.2680,6.8078
163,122.3932,92.2100,122.2230,91.8710,122.2754,92.0261,6.2366
164,122.5076,92.2364,122.4740,92.2533,122.4389,92.1281,0.3984
165,122.6215,92.2616,122.5405,92.1895,122.5562,92.1438,0.5601
166,122.7351,92.2854,122.8944,91.8470,122.7730,92.1443,2.5132
167,122.8482,92.3081,122.1983,92.1194,122.4999,92.1782,7.3405
168,122.9609,92.3295,122.9733,92.4610,122.8310,92.3065,5.3132
169,123.0732,92.3496,122.9721,91.9334,122.9145,92.3296,5.8559
170,123.1851,92.3685,123.4172,92.3735,123.2551,92.3172,2.6016
171,123.2966,92.3861,123.1303,92.2540,123.2307,92.3719,2.1357
172,123.4076,92.4024,123.6216,92.3997,123.4849,92.4528,1.8686
173,123.5182,92.4175,123.3063,92.2433,123.4253,92.4191,1.7697
174,123.6284,92.4314,123.6243,92.3756,123.5959,92.3116,2.2407
175,123.7382,92.4439,123.5081,92.7395,123.6077,92.5215,3.0739
176,123.8475,92.4552,124.0327,91.8741,123.8619,92.4622,8.0272
177,123.9564,92.4652,123.6635,92.1339,123.7739,92.4859,5.5139
178,124.0649,92.4740,124.1494,92.1626,124.0087,92.4539,2.3149
179,124.1729,92.4815,124.1960,92.5559,124.1642,92.5125,0.2126
180,124.2805,92.4877,124.6170,92.3457,124.4820,92.4209,3.1722
181,124.3876,92.4927,124.4567,92.4457,124.5186,92.4356,0.3384
182,124.4943,92.4963,124.3503,92.4851,124.4924,92.3933,2.0603
183,124.6006,92.4988,124.7089,92.2860,124.6685,92.2542,2.4508
